,Company,Title,Address,Emp_type,Seniority,Industry,Salary,Responsibility,Requirements
0,NTT DATA SINGAPORE PTE. LTD.,Senior Application Developer,"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315",Contract,"Executive, Senior Executive",Information Technology,"$8,000to$110,000","Roles & Responsibilities  Creating complex, enterprise-transforming applications on diverse, high energy teams  Working with the latest tools and techniques  Hands-on coding, usually in a pair programming environment  Working in highly collaborative teams and building quality code  Knowledge in lots of different domains and client environments  Furnish the business domain deeply and working closely with business stakeholders  ","Requirements A Bachelor’s degree in Computer Science (or equivalent experience)  4 to 9 years of development and delivery experience with Java / J2ee. Hands-on experience in analysis, design, coding, and implementation of complex, custom-built applications. Development experience in JAVA (Spring, J2EE, Spring boote) Hands on experience on at least two of the following JavaScript frameworks   EMBERJS/REACTJS/ ANGULAR (1.x or 2)/BACKBONE/DOJO/ Spring Framework/ MongoDB/Redis/Riak/ Avro/Json/Bson/Protobuf/ AMQP (Rabbit MQ)/ Cloud Foundry or similar cloud technology.    strong design patterns knowledge. Familiarity with relational databases, preferably MySQL, NoSQL, Oracle, PostgreSQL or SQL Server Experience working with, or an interest in Agile Methodologies, such as Extreme Programming (XP) and Scrum  Knowledge of software best practices, like Test-Driven Development (TDD) and Continuous Integration (CI). "
1,HP PPS ASIA PACIFIC PTE. LTD.,Business Analyst,1 DEPOT CLOSE 109841,"Permanent, Full Time",Professional,Others,"$8,400to$12,900","Roles & ResponsibilitiesHP is the world’s leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives. We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works.  At HP, the future is yours to create! If you are our Business Analyst in Singapore, you will have a chance to   Provide Analysis to support business/team's needs by ensuring data integrity & accuracy Be the interface to Sales Operations Be the interface to External Analyst: Canalys & IDC. Establish & enable quarterly published reports Drive regular & scheduled review of analysis with team & cross team members Update Market share quarterly & provide Insights (Small and Medium Business = SMB segment with PC & Print) Support team during budgeting process Key Analytics includes: Volume / Value /Small and Medium Business Channel Capacity & Polarity Insights, Quarterly (PC/Print/Growth Initiatives/Small and Medium Business) Power BI Partner performance/Business insights Business/IT trends and market insights Competitive channel analysis & insights (Small and Medium Business & channel indirect) Retention/Acquisition/Development (RAD) profiling & analysis Sales attainment/productivity analysis Partner program performance reporting and analysis Quarterly Asia Pacific Headquarter Commercial Channel Team's Spent Reports/Analysis. Ensure spent to budget ","RequirementsEducation and Experience Required:   Prior experience in either finance or sales operation with category experience a strong plus Must possess strong analytical skills, with keen eye for details Possess business flair, with good understanding of IT PC & Print & concepts of sell-in, sell- through & sell-out; channel landscape, etc Must have strong excel, pivot skills and excellence in dealing with numbers (for data accuracy & integrity) Strong organizational skills Strong collaborative skills with cross team members Multinational company experience a plus    HP is a Human Capital Partner – we commit to human capital development and adopting progressive workplace practices in Singapore. "
2,SHOPEE SINGAPORE PRIVATE LIMITED,Software Engineer,"GALAXIS, 1 FUSIONOPOLIS PLACE 138522","Permanent, Full Time",Executive,Information Technology,"$4,400to$8,000","Roles & ResponsibilitiesResponsibilities:   Develop and enhance data infrastructure using frameworks such as Hadoop, SPARK and Flume Design and build new data models and architects that will provide intuitive analytics Design and build reliable data pipelines that will efficiently move data to our Data Warehouse Design and develop new systems and tools that will enable teams to utilise, understand and process data at faster speeds       ","RequirementsRequirements:   Minimum B.S. degree in Computer Science or a related technical field Excellent communication skills with the ability to identify and communicate data driven insights 2+ years of Python development and Unix/linux system experience 2+ years of SQL (Mysql, Mssql, Hive, etc) experience You must also possess at least 2 of the additional requirements as below 2+ years of working experience in software development/programming in one of Java, C/C++. OS environment: Linux/Unix 2+ years of working experience with distributed databases or distributed systems 2+ years of working experience with dimensional data modelling & schema design in Data Warehouses 2+ years of working experience working on BigData analytics pipelines (Hadoop, Hive, ETL, RDBMS-Hadoop data management tools like Sqoop)       "
3,PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.,Data Analytics –Manager,"MARINA ONE EAST TOWER, 7 STRAITS VIEW 018936","Permanent, Contract, Full Time",Manager,Consulting ,"$6,200to$9,500","Roles & Responsibilities Advisory - Consulting  PwC Consulting is a regional practice within South East Asia which helps organizations work smarter and grow faster. Our work is always evolving to respond to industry trends and management focus, and we combine our deep technical skills in response to our clients' changing needs. Over time, what we do remains closely linked with helping our clients improve the way they operate; innovate and grow; reduce costs; manage risks; leverage talent; and change the way they do business.  Our aim is to support our clients in designing, managing and executing lasting beneficial change.     Responsibilities   Proven ability to sift through data, identify critical information, analyze, develop hypothesis and make recommendations to broader audience.  Prior experience synthesizing and packaging complex analyses and delivering results to non-technical audiences including senior leadership teams.  Demonstrated ability to use data to influence decision making. Strong project management capabilities to manage multiple project streams and complexity; propensity for thinking through projects in a process-oriented way.  Demonstrates proven intimate knowledge of advanced analytic methods and visualization techniques, applying quantitative methodologies to complex business problems across multiple industry issues or functional domains.  Lead and manage analytics engagements, including engagements in the area of business process enhancement analytics, predictive analytics, etc.  Support senior members in resolving client issues and to achieve predefined business growth targets. Support team in developing proposals and sales materials. ","Requirements  A good Degree in a quantitative discipline (Statistics, Decisions Sciences, Computer Science, Economics etc).   Minimum 5-6 years of relevant working experience of hands-on analytics.  Strong technical and analytical skill sets. Knowledge of SAS/R, SQL and predictive modelling skills required.  Good presentation skills, both oral and written.  Ability to multi-task and prioritise workload with good working knowledge of Microsoft Office Suite.  Good client management skills, authoritative and credible in a client conversation - both in terms of personal style and subject matter expertise.  Must have the capability to work on several projects in parallel, and be able to switch from one to another with confidence.  Ability to lead teams under pressure with demonstrated experience in project management "
4,Company Undisclosed,Research Fellow,,"Contract, Full Time","Professional, Executive",Others,"$4,000to$5,000","Roles & ResponsibilitiesData Scientist / Programmer for Regional ATM Modernisation Programme Under the Air Traffic Management Research Institute (ATMRI) (http://atmri.ntu.edu.sg/), Nanyang Technological University, you will be part of ‘Regional ATM Modernisation Programme’ team to perform programming and data analytics for the ASEAN air routes and ATM operations in the region. Primary Duties or Responsibilities Specifically, you will  Undertake research and development related to Air-space management & Data Analytics. Perform programming support for fast time and real-time simulation tools, doing analytics, and building high quality strategic planning system for future for Air Traffic Management (ATM) eco-system for the region. You will provide expertise on mathematical concepts for the broader applied analytics of flow management and inspire the adoption of advanced analytics and data science across the entire breadth of regional ATM system. Conduct stakeholder meetings to solicit input for development of systems. Interact with senior personnel such as project lead and ATC operations specialist on significant technical matters and coordinate with other specialist teams within programme. Represent the Institute at regional/global ATM platforms, international forum/conferences. Occasional overseas travel may be required. ",Requirements Doctorate degree in a relevant field. At least 3 years’ experience in any aviation-related fast-time simulation environment. Knowledge of tools like SAAM and AirTop will be an added advantage. Strong programming skills. Experience in Data Science (knowledge in Aviation / Air Traffic Management Good English writing and communication skills Independent and team player 
5,SOFTENGER (SINGAPORE) PTE. LTD.,"Data Center Operation (DC for - Server installation, mounting, patching and overall DC work.)","SIM LIM TOWER, 10 JALAN BESAR 208787",Contract,Professional,Information Technology,"$3,500to$4,000","Roles & Responsibilities Candidate should have 2+ years of experience working in DC which can be medium to large data center in Singapore, basic knowledge of DC components such as Server, Storage, Network, Cabling (UTP, Fiber) is required.  Candidate should know the basic Operations of Data center running environment and process follow with in DC. Follow the Standard Instructions given by SA (via SNOW) or DC Management for activities such as rack & stack, cable patching, server health check, etc. Work with Designated Partner for racking and stacking of servers and all movement of servers will be managed by partner, Operator has to help of rack and stack ono initial stage.  Monitor the Data center servers status  in terms of physical health check. (Monitoring only involves for first level of work) Work with SA for console access and any company approved process needs to follow in Data center. Follow the standard operating procedure of Client’s DC ops, which are standard across the region. Worked on Service now tickets / Request for any action required for server first level monitoring and engage right Team for next course of action. Hands and legs Support in case of escorting partner or any change worked required in DC.   24*7 Support with shift work where Operator will work 40 hours a week on shift ","RequirementsThe client is looking candidates with 2+ years hands on experience who has worked in DC for – Server installation, mounting, patching and overall DC work."
6,"JPMORGAN CHASE BANK, N.A.","Application Support Analyst, Reference Data Team",,Full Time,Executive,Information Technology,"$6,000to$12,000","Roles & ResponsibilitiesWe are seeking an Application Support Analyst who can ensure a smooth and effective operation of applications and 24/7 availability of the systems through careful monitoring of infrastructure, production processes, automating procedures where possible via scripting, and performing Permit to Operate on each application release. Analysis of existing system and user needs and support of newly developed systems. L2 Support is responsible for day to day support of CT environments infrastructure including the production and DR environments. Works with the development and other support teams to provide design guidelines and imparts knowledge on technical trends and solutions. The candidate will Instrument end to end monitoring of the CT infrastructure, ensuring high availability of the environment and timely alerting of any potential issues.  Ensures infrastructures have adequate capacity and are refreshed on a periodic basis. Develops and maintains system documentation, run-books and production metrics reporting.  Work effectively within the CT team to identify and resolve issues. Communicate effectively with both technical and non-technical individuals at all levels. .   Key responsibilities  Provide Level  2 support to internal business users Prioritize workload, provide timely and accurate resolutions Perform in-depth research and identify sources of production issues Effectively perform and document root cause analysis of issues Identify efficiencies and ways to improve processes Juggle an array of tasks while demonstrating strong organization Perform daily health checks of the application, job schedules and infrastructure supporting the application Develop scripts to automate repeatable manual tasks Participate in Disaster Recovery events and Major Event Changes Partake in audit support activities, as they pertain to Information Security, for both internal and external audits.  Perform audit support tasks as assigned Manage the application risk to ensure the security and resiliency of the application are in compliance with firm and regulatory requirements Ensure infrastructure has adequate capacity and are refreshed on a periodic basis Maintain system documentation and provide production metrics reporting. Act as first point of contact to diagnose and resolve issues raised by the business as part of the global operate team. Liaise with colleagues and other teams within the technology group to drive enhancements to technology requested by the business. Understand the batch flow and application flow end to end and be able to support the batches, drive improvements and automate manual procedures. ","RequirementsQualifications  7-10 years Production support experience in Unix, Oracle and PL/SQLwith ability to manage/drive high priority Production incidents. Experience with escalated ticket management.  Able to work under pressure to resolve issues affecting production services. Excellent analytical, problem-solving and multi-tasking skills. Experience with creating process, procedures, and documentation relating to incident management or systems operations. Able to work weekend on call rotations as required. Ability to coordinate tasks with multiple teams in multiple locations and time zones. Able to adapt to new technologies. Experience of communicating problems and issues concisely to senior business and technology leads.  Soft Skills (Essential):  Excellent verbal and written communication skills. Excellent interpersonal skills and be able to quickly understand and retain knowledge of business processes and the technology systems. Ability to handle high pressure, complex environments. Energetic and highly self-motivated. Build positive working relationships with external teams and managing their expectations. Strong analytical skills to solve complex issues.Good in stakeholder management and able to multi-task  Technical Skills:  Experience with supporting OS (Windows, Linux), web servers (IIS, Apache), application servers (WebSphere, Tomcat). Strong Oracle, PL/SQL support experience Strong UNIX experience. Need to have ability to read and understand UNIX Shell scripts. Strong knowledge in scheduling tools like Control-M and Autosys Knowledge of monitoring tools like Geneos , App Dynamics, Splunk Hands-on experience in troubleshoot performance issue including analyzing heap/thread dumps. Experience creating automation tools via scripting in both Linux as well as Windows environment    Experience (Desirable)  Previous experience of Reference Data support will be preferable    Key skills  Individual should be a self-starter who is confident and highly motivated to succeed. A genuine desire to learn about the business process and products across a number of asset classes. Ability to comfortably use a number of different technologies to analytically resolve complex issues Ability to take ownership of a myriad of issues and see them through to resolution. Excellent interpersonal skills, team player, with an ability to remain calm under pressure. Ability to take ownership of an issue and see it through to resolution. Ability to prioritize work load, multi task and react quickly to meet business expectations.   Additional information  A flexible approach to working hours is required in order to cover the trading day.  There is a rota system in place to provide on-site support normally between 7:30am and 7:00pm. Out of hours support is a part of this role and as such this role extends to support production and batch monitoring, releases or maintenance of server processes where necessary on weekends on a rota basis.  Our Corporate Technology team relies on smart, driven people like you to develop applications and provide tech support for all our corporate functions across our network. Your efforts will touch lives all over the financial spectrum and across all our divisions: Global Finance, Corporate Treasury, Risk Management, Human Resources, Compliance, Legal, and within the Corporate Administrative Office. You’ll be part of a team specifically built to meet and exceed our evolving technology needs, as well as our technology controls agenda.   When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.  At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity.  We encourage professional growth and career development, and offer competitive benefits and compensation.  If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.    We strongly encourage all applicants to apply via our careers website where you are able join our Talent Network to receive customized vacancy notifications and ensure that your details are accessible by our global recruiting team - www.jpmorganchase.com/careers.   A quick link to this particular job posting can be found in this URL: http://jobs.jpmorganchase.com/ListJobs/ByKeyword/180066358/  Please note that only short-listed candidates will be notified. We thank you for your interest and wish you all the best in your career.  Yours Sincerely, Human Resources JPMorgan  "
7,"JPMORGAN CHASE BANK, N.A.","CyberSecurity Business Resiliency Analyst and Coordinator, Vice President",,Full Time,Executive,Information Technology,"$7,500to$15,000","Roles & ResponsibilitiesWorking in Cybersecurity takes pure passion for technology, speed, a constant desire to learn, and above all, vigilance in keeping every last asset safe and sound. You’ll be on the front lines of innovation, working with a highly-motivated team laser-focused on analyzing, designing, developing and delivering solutions built to stop adversaries and strengthen our operations. Your research and work will ensure stability, capacity and resiliency of our products and emerging industry trends. Working in tandem with your internal team, as well as technologists and innovators across our global network, your ability to identify threats, provide intelligent analysis and positive actions will stop adversaries and strengthen our data.  Within Cybersecurity & Technology Controls, the Production Management team seeks a Hygiene and Resiliency Metrics Analyst, responsible to support the Resiliency Manager by acting as the day-to-day point of contact for hygiene and metrics as related to resiliency and recovery.  This role reports to the Cyber Security & Technology Controls Resiliency Manager and is primarily responsible to ensure that application Hygiene meets the firm’s policies. Hygiene, is defined as life cycle (OS, Hardware, all component software stacks), patching, backup compliance, CAF (Critical Application Framework) policy requirements.  This role will require interaction with the various teams for remediation of hygiene breaks and being the point of contact for hygiene metrics.  This position is anticipated to require the use of one or more High Security Access (HSA) systems. Users of these systems are subject to enhanced screening which includes both criminal and credit background checks, and/or other enhanced screening at the time of accepting the position and on an annual basis thereafter. The enhanced screening will need to be successfully completed prior to commencing employment or assignment.  Responsibilities will include: Resiliency • Develop and manage Business Continuity/Disaster Recovery, Resiliency and Crisis Management plans for the Cybersecurity & Technology Controls organization. • Maintain and communicate the Continuity Planning and Technology Recovery Testing schedules for Cybersecurity & Technology Controls applications. • Drive Business Recovery Strategy testing compliance. • Maintain and monitor the Resiliency Data Management System (RDMS) to ensure ITRC breaks and remedies are generated for non-compliance. Create, review and update the business impact analysis (BIA) and business continuity plans (BCP). • Global Enterprise Notification Tool (GENT) administrator, responsible for business notification testing via GENT tool and initiating ad-hoc GENT notifications as required. • Cybersecurity & Technology Controls LOB representative for the Regional Crisis Management Team (RCMT). • Provide Monthly Cybersecurity business resiliency reporting to the Global Business Resiliency (GBR) team, technology resiliency metrics for Cybersecurity GTOC and BCC meetings. • Partner with Cybersecurity Technology team to ensure compliance with business technology standards (approved Technology Recovery Plans (TRP) and Disaster/Recovery (DR) testing). • Resiliency & Recovery Product Lead provide guidance on standards, metrics and procedures.  Inter-Affiliate Services (IAS) • Represent Cybersecurity at all GT IAS meetings. • Contact for Cybersecurity IAS identified issues and action plans. • Reporting IAS metrics for Cybersecurity GTOC and BCC meetings.  Third Party Management Office (TPMO)/Supplier Management • Represent Cybersecurity at all TPMO and Supplier Management meetings • Attend weekly COMPASS call for new Cybersecurity engagements • Work with Delivery Managers to ensure remediation plan target dates are met • Reporting TPMO and Supplier Management metrics for Cybersecurity GTOC and BCC meetings.  ","Requirements• Bachelors’ degree in computer science, information systems or related field; advanced degree preferred • 8+ years of overall IT experience preferred. • 7+ years of technology experience, ideally including experience in the Financial Services and Cybersecurity or related fields. • Outstanding verbal, interpersonal and written communication and presentation skills, including demonstrated ability to interact with both technical and non-technical stakeholders • Strong organizational and time management skills; ability to manage multiple and conflicting priorities in a global organization, and to adapt in a fast-paced environment   Technical experience: • 5+ years of Technology Resiliency experience (BC/DR, Incident Management) • Expert knowledge of MS-Excel, MS-Power Point, • Technology program management, project management experience • Data Analysis, Validation, Testing, and Reporting experience • Certified Business Continuity Professional (CBCP), Certified in Risk and Information Systems Control(CRISC) or related is preferred   We strongly encourage all applicants to apply via our careers website where you are able join our Talent Network to receive customized vacancy notifications and ensure that your details are accessible by our global recruiting team - www.jpmorganchase.com/careers.   A quick link to this particular job posting can be found in this URL: http://jobs.jpmorganchase.com/ListJobs/ByKeyword/180044948/  Please note that only short-listed candidates will be notified. We thank you for your interest and wish you all the best in your career.  Yours Sincerely, Human Resources JPMorgan  "
8,ADDSTONES SAS,Data Engineer,120 ROBINSON ROAD 068913,Permanent,Manager,Engineering,"$5,000to$10,000","Roles & ResponsibilitiesGFI is an international IT services company, currently employing about 18,000 people Worldwide. GFI provides its clients with innovative, long-lasting industrial solutions to leverage performance from their information systems. • Management Consulting | Digital Transformation | Innovation • Operating over 20 countries, • 2017 revenue of over 1,2 billion USD, • 48 years of existence. In order to support our forthcoming business and technological challenges, we seek innovative and agile people sharing our mind set. We are now looking for a Data Engineer to join our team in Singapore. General presentation of the position: Part of CIB IT Architecture, Digital and Transformation, the IT Digital Accelerator & Platform Accelerator team is in charge of:  Accelerating the delivery of products from Lab to Prod. Coordinating the correct usage of our platform. Expanding and managing the Digital Expert Community.  One of the Platform we are working on is the APAC Data Solution. This solution will be used for data management, data quality, analytics and reporting services providing the capability to be a data driven organization. Within the team, the Data Engineer ensures that any data is properly received, transformed, stored, and made accessible to other users. Role and Responsibilities:  Constructing data pipelines. Building APIs for data consumption Supporting the Data Platform Continuously monitoring and testing the system to ensure optimized performance   ","RequirementsDeep analytical skills :    Business intelligence understanding. Data Visualization tools (tableau). Enjoying discovering and solving problems  Excellent communication skills :  Strong interpersonal, oral and written communication and presentation skills. Ability to communicate complex findings and ideas in plain language. Written and verbal communication, preferably with technical writing skills. Being able to work in teams towards a shared goal;  Project and resource management skills:  Resilient project juggler Strong experience in user testing and project management  Specific Qualifications Required :  Experience on with visualization tools (tableau) Experience with data management tools (Ab initio) is required 5+ years of associated work experience in a relevant role Excellent interpersonal communication skills to explain complex technical topics in an easily digestible manner Advanced SQL database management is a plus. Understanding of file transfer solution (CFT, sfTP, MQ, kafka) Technical expertise regarding data models, database design development, data mining and segmentation techniques. Strong knowledge and experience with reporting packages/tools (tableau etc.), databases (SQL etc.), programming (Python, R, JavaScript or ETL frameworks). Knowledge of statistics or experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc.). Adept at queries, report writing and presenting findings. Working knowledge in any analytical tools like Alteryx, Dataiku. Working knowledge of Hadoop, MapR and Machine Learning techniques are desired. "
9,BLUECHIP PLATFORMS ASIA PTE. LTD.,"Associate Director, Portfolio Analytics, Investment Management",,Full Time,Manager,Banking and Finance,,"Roles & Responsibilities Building of framework to measure drivers of returns and attribution of returns  Regular review and monitoring of the framework  Conduct regular analysis on drivers of returns and performance attribution  Analysis of portfolio exposure by various sector, geography, asset class  Engage senior management on regular portfolio reporting ","Requirements Minimum 6 years' relevant experience in performance attribution and characteristics, benchmark composition  Strong understanding of financial markets, public markets, private equity and various financial instruments  Solid hands-on experience in various performance measurement measures  Ability to work under tight timelines  Team player and good communication skills  **Apply here** https://www.bluechipcareers-asia.com/jobDetails/3377/associate-director-portfolio-analytics-investment-management For more Banking and Finance Jobs, visit us at https://www.bluechipcareers-asia.com/"
